,title,view,like,unlike,comment,date,token2
122,요즘 제일 맛있어라 하는 떡볶이 20200831/Mukbang eating show,1437485.0,2000.0,510.0,1211.0,2020. 8. 31.,"['떡볶이', '제일', '요즘']"
123,뭬님의 라면가게 칼빔면편 골뱅이와 대창 토핑은 덤 20200829/Mukbang eating show,601622.0,7600.0,326.0,387.0,2020. 8. 30.,"['라면', '골뱅이', '토핑', '대창', '가게']"
124,(광고예용) 이 조합 실화 순대볶음+김부각 후식으로 모시가래떡까지 [어디까지팔아봤니2] 20200826/Mukbang,419057.0,800.0,161.0,682.0,2020. 8. 28.,"['김부각', '실화', '조합', '볶음', '광고', '모시', '가래떡', '순대', '후식']"
125,색색깔 유부초밥과 우동 그리고 팬케이크 20200827/Mukbang eating show,689820.0,1000.0,237.0,650.0,2020. 8. 27.,"['팬케이크', '유부', '색깔', '초밥']"
126,치즈돈가스+냉모밀 그리고네 20200826/Mukbang eating show,761137.0,1000.0,273.0,768.0,2020. 8. 25.,"['치즈', '모밀', '돈가스']"
127,섭웨잇 20200824/Mukbang eating show,322986.0,4300.0,113.0,399.0,2020. 8. 24.,[]
128,대창볶음 + 꼼장어볶음   20200824/Mukbang eating show,313826.0,5200.0,110.0,258.0,2020. 8. 24.,"['꼼장어', '대창', '볶음']"
129,[ENG] 토스트 교촌치킨 그리고 등등 /20200819방송 편집버전,580744.0,7600.0,121.0,857.0,2020. 8. 23.,"['치킨', '토스트']"
130,[ENG] 동치미막국수와 차돌박이 후식 피자까지 먹방편 /20200818방송 편집버전,387745.0,5500.0,80.0,512.0,2020. 8. 22.,"['차돌', '동치', '막국수', '피자', '박이', '후식']"
131,연남동 소이연남 + 과일화채 20200820/Mukbang eating show,380372.0,6100.0,155.0,447.0,2020. 8. 20.,"['소이', '화채', '과일']"
132,뭘먹긴 먹었는데20200819/Mukbang eating show,981371.0,12000.0,418.0,1078.0,2020. 8. 19.,['무엇']
133,든든한 피자가 왔습니다 20200818/Mukbang eating show,351081.0,4700.0,102.0,287.0,2020. 8. 18.,['피자']
134,차돌박이에 동치미국수를 싸악 20200818/Mukbang eating show,445695.0,7300.0,146.0,442.0,2020. 8. 18.,"['동치미', '국수', '박이', '차돌']"
135,선물받은 케이크와 후식 떡 먹방 20200817/Mukbang,444300.0,6400.0,174.0,404.0,2020. 8. 17.,"['선물', '케이크', '후식']"
136,햇님의 생일상 먹방 2020817/Mukbang eating show,496134.0,9500.0,209.0,657.0,2020. 8. 17.,['생일']
137,[ENG] 햇님표 김밥 만들어 먹기 먹방편 /20200812방송 편집버전,384745.0,5300.0,123.0,477.0,2020. 8. 16.,['김밥']
