title,view,like,unlike,comment,date
좀 늦었죠? 커밋뷰티 페스티벌브이로그 2일차 || 우리가 행복했던 그 시간!,"조회수 34,754회",633,16,댓글 47개,2019. 3. 24.
2019존예신상문 크리스탈 프리즘 멀티 리플렉티브 글리터종류별 리뷰 | SSIN,"조회수 285,530회",4.3천,92,댓글 325개,2019. 3. 21.
잃어버린 내 눈썹 그리는 법씬팁집중설명 : How to draw eyebrows,"조회수 241,860회",3.9천,63,댓글 339개,최초 공개: 2019. 3. 15.
"씬팁집중설명 : 인조속눈썹, 잘라서 붙혀볼까? 2편 / How to apply the FALSIES 2","조회수 102,167회",2.4천,31,댓글 146개,2019. 3. 12.
번외편7.민트극복 메이크업 Overcoming the fear of MINT | SSIN,"조회수 403,049회",8.3천,184,댓글 956개,2019. 3. 8.
쎈님 vs 씬님 메이크업 씬님 사칭이 있다 쎈님은 누구!!,"조회수 520,831회",9.5천,152,댓글 660개,2019. 2. 27.
씬팁집중설명 : 인조속눈썹 붙히기 왕초보 1편 / How to apply the FALSIES,"조회수 347,036회",8천,114,댓글 507개,2019. 2. 24.
"뷰티크리에이터 대 축제 ""커밋뷰티 페스티벌"" 제 2회 후기브이로그 1일차 | SSIN","조회수 65,994회",1.2천,23,댓글 110개,2019. 2. 17.
생방송 // 발렌타인데이 극복 메이크업 ... 초콜렛 줄 사람 없으면 드루와요,"조회수 127,000회",1.9천,60,댓글 128개,실시간 스트리밍 시작일: 2019. 2. 14.
다크서클 제대로 가리는 법 알려드리는 영상 // feat.이니스프리,"조회수 201,981회",3.6천,68,댓글 232개,2019. 2. 1.
"인상 팍팍 바뀌는 ""인스타그램 셀카"" 메이크업SSIN","조회수 384,601회",7.6천,130,댓글 623개,2019. 1. 31.
두둥! 커밋뷰티 페스티벌 2회 개최소식 공지! / 커밋뷰티 에코백 리뷰영상,"조회수 162,983회",2천,116,댓글 353개,2019. 1. 28.
프로필 촬영장 가는 겟레디윗미 /글로우 번쩍번쩍 광나는 베이스 메이크업 | SSIN 씬님,"조회수 196,531회",3.1천,81,댓글 236개,2019. 1. 25.
핑크극복프로젝트6.리빙코랄핑크 Overcoming the fear of PINK : Living Coral Pink | SSIN,"조회수 262,995회",6.1천,106,댓글 840개,2019. 1. 24.
"스카이캐슬 성대모사 역대급 메소드 연기, 직접부른 OST ... 제가 도대체 무슨 메이크업 영상을 만든거죠?","조회수 226,229회",8.1천,122,"댓글 1,409개",2019. 1. 20.
